Type,Group,Sub-Group,Number,Name,Keywords,Description
Revenue,Professional Services Revenue,Companion Animal Specialty Revenue,4111,Anesthesia/Pain Management,,"This revenue center includes income from fees from gas or IV anesthesia charged as a service. Includes all anesthetic “cocktails” & sedations (injectables such as Midazolam, Fentanyl, Marcaine, Bupivicaine, DexDormitor, Dormisedan, Telazole, Lidocaine, Propofol, Alfaxan, etc.), epidural nerve blocks, local & dental nerve blocks. Also includes income from anesthetic monitoring. Does not include tranquilizers"
Revenue,Professional Services Revenue,Companion Animal Specialty Revenue,4112,Alternative/Acupuncture,,"This revenue center includes fees related to income from chiropractic, acupuncture and homeopathy services. Alternative medical products sold should be captured in 4532 -- OTC Nutriceuitical Revenue."
Revenue,Professional Services Revenue,Companion Animal Specialty Revenue,4113,Behavior,,"This revenue center includes fees related to behavior service income and includes both services related to the prevention of behavior issues that might lead to owner-pet bond breakage (behavior wellness), or consulting services addressing the modification of existing behavior issues (separation anxiety, excessive vocalization, aggression, and destructive behavior). Medications and OTC products to treat behavioral issues should be included under Pharmacy – 5105 (FDA) or Ancillary – 5801 (OTC)."
Revenue,Professional Services Revenue,Companion Animal Specialty Revenue,4114,Rehabilitiation Therapy,,"This revenue center includes fees from activities involving treadmill, swimming, core muscle conditioning, massage, and similar physiotherapeutic applications to increase muscle strength, range of joint motion, flexibility, and mobility."
Revenue,Professional Services Revenue,Companion Animal Specialty Revenue,4115,Nutrition,,"This revenue center includes all revenues associated with nutirition diagnositcs, consultation and treatment.."
Revenue,Professional Services Revenue,Companion Animal Specialty Revenue,4116,Avian/Exotics,,"This revenue center includes all revenues associated with treatment of birds, repitles and other exotic animals."
Revenue,Professional Services Revenue,Companion Animal Specialty Revenue,4117,Diagnostic Lab / Clinical Pathology,,This revenue center includes all revenues associated with diagnostics in clinical pathology.
Revenue,Professional Services Revenue,Companion Animal Specialty Revenue,4118,Theriogenology,,This revenue center includes all revenues associated with reproductive health and breeding of animals.
Revenue,Professional Services Revenue,Companion Animal Specialty Revenue,4200,In-House Imaging Revenue,,
Revenue,Professional Services Revenue,In-House Imaging Services Revenue,4201,X-Ray Revenue,,"This revenue center includes fees for radiographs and interpretation of radiographic studies, including Penn Hip and OFA fees. Radiograph revenue associated with dental procedures should be included in account 5404."
Revenue,Professional Services Revenue,In-House Imaging Services Revenue,4202,Dental X-Ray Revenue,,This revenue center includes fees related to income from dental radiographs and interpretation fees.
Revenue,Professional Services Revenue,In-House Imaging Services Revenue,4203,CT Revenue,CT scan,"This revenue center includes income from fees derived from image studies via computerized tomography technology, and including any interpretation fees, whether or not bundled with the procedure fee."
Revenue,Professional Services Revenue,In-House Imaging Services Revenue,4204,Ultrasound Revenue,sonography,This revenue center includes income from fees derived from ultrasound imaging procedures and their interpretation. Include income for needle aspirate along with ultrasound guided fine needle and Trucut biopsies procedure fees. Ultrasound guided urine cystocentesis fees should be included in lab services account 5301.
Revenue,Professional Services Revenue,In-House Imaging Services Revenue,4205,MRI Revenue,,"This revenue center includes income from fees derived from MRI (Magnetic Resonance Imaging) scan procedures, and study interpretation."
Revenue,Professional Services Revenue,In-House Imaging Services Revenue,4300,In-House Laboratory Revenue,,"This revenue center includes fees related to in-house laboratory includes any pre-surgical operatory tests, CBCs (complete blood counts), serum/blood chemistries, urinalyses, fecal analyses, cytology analyses, and semen evaluations completed by practice employees using practice laboratory equipment and supplies. Skin scraping, phlebotomy, blind or ultrasound guided cystocentesis, or fine needle aspirate fees resulting from specimen collection (chemistry, cytology, and/or biopsy interpretation) should be included in this account."
Revenue,Professional Services Revenue,In-House Laboratory Services Revenue,4400,Outside Professional Service Revenue,,
Revenue,Professional Services Revenue,Outside Professional Service Revenue,4401,Outside Laboratory Revenue,,"This revenue center includes fees related to income from outside lab tests such as state diagnostic labs, private reference labs such as Antech, IDEXX, Marshfield, Phoenix, Abaxis etc. Includes phlebotomy and urine collection fees including cystocentesis for urine testing, histopathology and necropsy fees when performed by an outside lab."
Revenue,Professional Services Revenue,Outside Laboratory Service Revenue,4402,Outside Radiology (Imaging) Revenue,,"This revenue center includes all fees related to radiological 3rd party overreads and consultations (of Xrays, etc)."
Revenue,Professional Services Revenue,Outside Imaging Service Revenue,4403,Mortuary/Disposal Services,"cremation, burial","This revenue center includes fees related to cremation, burial income, and related body care services. Include fee income for sales of cemetery plots, caskets, urns, paw prints, and associated patient memorial services or products. (Euthanasia procedure fees are included in account 5010 – Exam Revenue)."
Revenue,Professional Services Revenue,Outside Mortuary Service Revenue,4500,Product Revenue,,
Revenue,Product Revenue,Rx Medication Product Revenue,4510,Medication (FDA controlled) Revenue,,
Revenue,Product Revenue,Rx Medication Product Revenue,4511,FDA Prescription Medication Revenue,,"This revenue center includes revenue from the sale of FDA prescription medications such as pills, capsules, liquids, and any other FDA approved product category not listed in the 5100 to 5199 accounts."
Revenue,Product Revenue,Rx Medication Product Revenue,4512,Injection Revenue,,"This revenue center includes income from FDA inpatient and outpatient injections and any injection fee and any associated packaging/dispensing/injection fees. Insulin, tranquilizers and Immiticide are included in this account. Does not include income from injections for anesthetics, euthanasia solutions, sedating agents, Proheart and Program."
Revenue,Product Revenue,Rx Medication Product Revenue,4513,Flea-Tick Non-HW Parasite Control Medication Revenue,,"This revenue center includes income from FDA prescription products that prevent fleas and/or ticks, but not heartworms. Example: Comfortis, Program, NexGard & Bravecto."
Revenue,Product Revenue,Rx Medication Product Revenue,4514,HW Parasite Control Medication Revenue,,"This revenue center includes income from any FDA product that prevents heartworms or combo HW and other internal or external parasites. Example: Sentinel, Trifexis, Heartguard, Advantage Multi, Revolution, Proheart-6, etc."
Revenue,Product Revenue,Rx Medication Product Revenue,4515,Internet Pharmacy Revenue,"website, web","This revenue center includes the gross revenues resulting from sales made through a practice web portal, regardless of type of product, and whether or not sales are facilitated through a subcontracted vendor (VetSource, MyVetDirect, etc.) Also include income from products billed by the practice, but shipped directly to the client. Ancillary products may be split out if desired and put in the ancillary category (5804)."
Revenue,Product Revenue,Rx Medication Product Revenue,4520,Dietary Product Revenue,,
Revenue,Product Revenue,Dietary Product Revenue,4521,Therapeutic Dietary Product Revenue,,This revenue center includes fees related to any food that is sold as a medical recommendation to support a patient suffering from a diagnosed specific medical health problem. Hint: while often called prescription diets they do not by law require a veterinarian to prescribe them but manufacturers do frequently limit their sales through veterinarians and veterinary hospitals.
Revenue,Product Revenue,Dietary Product Revenue,4522,Retail Dietary Product Revenue,,"This revenue center includes fees related to any food that is sold as a wellness/maintenance diet, pediatric diet or traditional food WITHOUT a specific therapeutic dietary formulation for a diagnosed medical health problem."
Revenue,Product Revenue,Dietary Product Revenue,4530,Other Product Revenue,,
Revenue,Product Revenue,Other Product Revenue,4531,OTC Shampoo,,This revenue center includes income from feesfrom shampoos including non-FDA shampoos and flea shampoos
Revenue,Product Revenue,Other Product Revenue,4532,OTC Nutriceutical,,"This revenue center includes income from fees from OTC/Nutraceuticals - all therapeutic over-the-counter (non- prescription) products, including Chinese herbs and homeopathic products, dental hygiene products including Greenies and chews and nutraceuticals, probiotics, vitamins. Also includes Elizabethan anti-self-mutilation type collars, behavior modifying non-FDA therapeutics and other products used in behavior therapy, including Soft Paws and Thundershirts."
Revenue,Product Revenue,Other Product Revenue,4533,Pet Supplies,,"This revenue center includes income from fees income from non-therapeutic, retail sales of leashes, harnesses, collars, toys, point of purchase items, brushes, flea combs, grooming sprays, candles, milk replacers, pet treats, deodorants, nail trimmers, pet carriers, pet ID tags, pill cutters, cat litter, etc. Includes city and county license tags."
Revenue,Product Revenue,Other Product Revenue,4534,OTC Flea-Tick Control Product,,"This revenue center includes income from fees from EPA non-FDA flea control products such as topical application products (Frontline, Activyl, Vectra, Certifect, Cheristin, etc.), non-FDA oral flea treatments such as Capstar, flea sprays, powders, dips, and premise treatments."
Revenue,Product Revenue,Other Product Revenue,4535,Internet Ancillary Product,"website, web",Include in this revenue center income from fees related to internet ancillary product sales if you wish to separate them from pharmacy items. Otherwise put everything under Pharmacy (see above 4515 Internet Pharmacy Revenue).
Revenue,Product Revenue,Other Product Revenue,4600,Boarding/Daycare Revenue,"kennel, resort, daycare","This revenue center includes income from fees from boarding and daycare services. If revenues from daycare services are substantial, a separate subaccount of boarding income can be used. If hospital housing is required due to medical condition treatment, doctor observation and nursing need, use hospitalization account 5020."
Revenue,Non-Professional Service Revenue,Non-Professional Service Revenue,4700,Grooming Revenue,,"This revenue center includes income from bathing & grooming services and associated anal sac expression and nail trim procedures, when bundled and provided by grooming personnel. Do not include fees related to treatment of medical conditions discovered during grooming services, such as ear care. If anesthesia or sedation is required to perform grooming services, these procedures are coded to anesthesia account 5600 unless bundled with grooming."
Revenue,Non-Professional Service Revenue,Non-Professional Service Revenue,4800,Wellness Program Revenue,,This revenue center includes all wellness program revenues (typically recurring monthly revenues) for non-medical health and nutrition
Revenue,"Discounts, Returns and Refunds","Discounts, Returns and Refunds",4900,Discounts Returns & Allowances (contra accounts),,
Revenue,"Discounts, Returns and Refunds","Discounts, Returns and Refunds",4901,Fee Discounts,,"This revenue center includes client and employee discounts and fee accommodations are posted to this account. In the veterinary profession, the level of fee discounting can be relatively significant. For this reason, discounts are recorded as a debit directly offsetting operational revenues, so that management has an improved awareness of discounting impact on overall cost of operations. When offset against gross revenues charged, discounts reduce the total operating revenue figure that is used to calculate each expense as a percent of it. One challenge is that all fee discounts are not recorded in practice records. Many times, veterinarians provide free services (either intentionally or accidentally) that are never shown on the practice’s records, thus understating the true level of client discounts. This oversight creates yet another problem: no recorded history of what was done for the patient exists."
Revenue,"Discounts, Returns and Refunds","Discounts, Returns and Refunds",4902,Returns & Allowances,"refund, chargeback","Returns and allowances are fee amounts the practice returns to clients for disputed work, such as when a client is billed twice for the same procedure or when a client returns dispensed product they believe is not efficacious. The practice bookkeeper prepares a check or other payment to the client as settlement. This account carries a debit balance and as such, is an offsetting account to revenues (revenue accounts normally carry a credit balance). Transaction postings to this account decrease the practice gross revenue."
COGS,,,,COST OF GOODS SOLD,,
COGS,Outside Clinical Services Costs,Outside Clinical Services Costs,5100,Outside (1099) Clinical Services Costs,,
COGS,Outside Clinical Services Costs,Outside Clinical Services Costs,5101,Relief Emergency Professional Service Costs,"1099, locum","Cost of 1099 or locum emergency doctors, whether full-time or part-time"
COGS,Outside Clinical Services Costs,Outside Clinical Services Costs,5102,Radiology Professional Service Costs,"1099, locum",Cost of 1099 radiologists performing work on premises
COGS,Outside Clinical Services Costs,Outside Clinical Services Costs,5103,SurgicalProfessional Service Costs,"1099, locum",Cost of 1099 surgeons performing work on premises
COGS,Outside Clinical Services Costs,Outside Clinical Services Costs,5104,Other Specialty Professional Service Costs,"medical consultant, 1099, locum",Cost of other types of specialists operating as 1099 contractors performing work on premises
COGS,In-House Imaging Costs,In-House Imaging Costs,5200,In-House Imaging Costs,,
COGS,In-House Imaging Costs,In-House Imaging Costs,5201,X-Ray Cost,,Variable cost of x-Rays performed
COGS,In-House Imaging Costs,In-House Imaging Costs,5202,Dental X-Ray Cost,,Variable cost of dental x-Rays performed
COGS,In-House Imaging Costs,In-House Imaging Costs,5203,CT Cost,,Variable cost of CT scans performed
COGS,In-House Imaging Costs,In-House Imaging Costs,5204,Ultrasound Cost,,Variable cost of ultrasounds performed
COGS,In-House Imaging Costs,In-House Imaging Costs,5205,MRI Cost,,Variable cost of MRIs performed
COGS,In-House Laboratory Costs,In-House Laboratory Costs,5300,In-House Laboratory Costs,,"Cost of any lab supplies, reagents or expendables along with minor non-depreciable equipment used in performing in-house lab testing. Does not include cost of significant equipment repairs, maintenance and service agreements which should be expensed separately under 7520 Maintenance, 7530 Service Contracts or 7570 Repairs. New capital equipment over $500 should be entered as an asset & depreciated."
COGS,Outside Medical Services Costs,Outside Medical Services Costs,5400,Outside Medical Service Costs,,
COGS,Outside Medical Services Costs,Outside Medical Services Costs,5401,Outside Laboratory Costs,,"Cost of supplies or charges by reference lab for performing outside lab testing, histopathology and necropsy. Includes cost of mailing samples to lab. Includes consulting fees by lab pathologist."
COGS,Outside Medical Services Costs,Outside Medical Services Costs,5402,Outside Radiology (Imaging) Costs,,"Charges related to radiological 3rd party overreads and consultations (of Xrays, sonograms, MRI's, CT's etc)."
COGS,Outside Medical Services Costs,Outside Medical Services Costs,5403,Mortuary/Cremation/Disposal Services,,Charges paid to 3rd parties related to the disposal of and/or mortuary services for deceased animals.
COGS,Medical Supplies Cost,Medical Supplies,5500,Medical Supplies,,
COGS,Medical Supplies Cost,Medical Supplies,5501,General Medical Supplies,,"Cost of general medical supplies, such as gauze, tape, sutures, IV fulids, etc"
COGS,Medical Supplies Cost,Medical Supplies,5502,Blood Products,,Cost of blood products
COGS,Medical Supplies Cost,Medical Supplies,5503,Surgical Supplies,,"Cost of surgical supplies, such as screws, plates, etc."
COGS,Medical Supplies Cost,Medical Supplies,5504,Laboratory Supplies,,"Cost of  all in-house lab supplies, including reagents, etc."
COGS,Medical Supplies Cost,Medical Supplies,5505,Oxygen Supplies,,Cost of oxygen cannisters and/or oxygen generators (amortized).
COGS,Medical Supplies Cost,Medical Supplies,5506,Dermatological Supplies,,"Cost of dermatological supplies used for in-hospital treatments, including creams, etc. (those solf to customers are included in either prescription or OTC product costs)"
COGS,Medical Supplies Cost,Medical Supplies,5507,Oncology Supplies,,"Cost of medical oncological supplies used for in-hospital treatments, including chemotherapy supplies."
COGS,Medical Supplies Cost,Medical Supplies,5508,Other Specialty Supplies,,"Cost of specialty supplies not captured in the other accounts, perhaps including ophthalmological supplies."
COGS,Medical Supplies Cost,Medical Supplies,5509,Digital COGS Supplies or Services ,,"Payments to 3rd parties for digital supplies and/or services associated with costs of goods sold, such as ""health certificates"" for customers, or management of regulatory (SDS filings, etc) requirements, or any royalties/fees paid to distribution channels as a % of revenue they generate"
COGS,Cost of Products Sold,Drug Product Costs,5700,Product Costs,,
COGS,Cost of Products Sold,Rx Medication Costs,5710,Medication (FDA controlled) Costs,,
COGS,Cost of Products Sold,Rx Medication Costs,5711,FDA Prescription Medication Costs,,"FDA prescription medications such as pills, capsules, liquids, and any other FDA approved product category not listed in the 6100 to 6199 accounts. Also include pharmacy dispensing supplies such as prescription containers and labels."
COGS,Cost of Products Sold,Rx Medication Costs,5712,Injection Costs,,Includes all FDA injectable medications billed as pharmacy injection income. It does include insulin and Immiticide injections.
COGS,Cost of Products Sold,Rx Medication Costs,5713,Flea-Tick Non-HW Parasite Control Medication Cost,,"Includes FDA prescription products that prevent fleas and/or ticks, but not heartworm. Examples: Comfortis, Program, Nexgard, Bravecto etc."
COGS,Cost of Products Sold,Rx Medication Costs,5714,HW Parasite Control Medication Cost,,"Includes purchases of any FDA product that prevents heartworms or combination products that prevent heartworms and other internal or external parasites. Examples: Sentinel, Trifexis, Heartguard, Advantage Multi, Revolution, Proheart-6, etc."
COGS,Cost of Products Sold,Rx Medication Costs,5715,Internet Pharmacy Cost,"website, web","Includes cost of products resulting in sales made through a web portal either belonging to the practice or a subcontracted vendor such as VetSource, Vet Centric, MyVetDirect or Henry Schein portal. The practice may split out ancillary products if they desire and expense separately to 6804 Ancillary Internet Costs. Subcontracted vendors usually pay the practice the net amount of sales made to clients, so a journal entry may be required to record sales at gross (in account 5130) and the related cost here."
COGS,Cost of Products Sold,OTC Dietary Product Costs,5720,OTC Dietary Products,,
COGS,Cost of Products Sold,OTC Dietary Product Costs,5721,Therapeutic Dietary Product Cost,,Cost of pet foods that are sold as a therapeutic medical recommendation to address a patient’s diagnosed medical health.
COGS,Cost of Products Sold,OTC Dietary Product Costs,5722,Retail Dietary Product Cost,,"Cost of pet foods that are sold as a wellness/maintenance diet, pediatric diet or traditional food WITHOUT a specific therapeutic dietary formulation for a diagnosed medical health problem."
COGS,Cost of Products Sold,Other OTC Product Costs,5730,Other OTC Product Costs,,
COGS,Cost of Products Sold,Other OTC Product Costs,5731,OTC Shampoo,,"Includes all therapeutic OTC products, probiotics, dental hygiene OTC products including Greenies, nutraceuticals, vitamins, alternative medicine and acupuncture products such as needles and Chinese herbs, Elizabethan self- mutilation type collars, non-FDA shampoos, behavior modifying products used in behavior therapy including Soft Paws and Thunder Shirts."
COGS,Cost of Products Sold,Other OTC Product Costs,5732,OTC Nutriceutical,,"Includes all therapeutic OTC products, probiotics, dental hygiene OTC products including Greenies, nutraceuticals, vitamins, alternative medicine and acupuncture products such as needles and Chinese herbs, Elizabethan self- mutilation type collars, non-FDA shampoos, behavior modifying products used in behavior therapy including Soft Paws and Thunder Shirts."
COGS,Cost of Products Sold,Other OTC Product Costs,5733,Pet Supplies,products,"Include all retail costs of product sold in hospital. May include all non-medical products such as leashes, harnesses, collars, toys, point of purchase items, brushes, flea combs, grooming sprays, candles, milk replacers, pet treats, Pill Pockets, deodorants, nail trimmers, pet carriers, pet ID tags, pill cutters, air fresheners, etc. Include city/county license tags in this account."
COGS,Cost of Products Sold,Other OTC Product Costs,5734,OTC Flea-Tick Control Product,,"Include all EPA non-FDA flea control products such as topically applied products (Frontline, Activyl, Vectra, Certifect, Cheristin, etc.), Capstar, sprays, powders, dips, and premise treatments. Flea shampoos are all in 6801 OTC Products, Shampoos & Nutraceutical Costs."
COGS,Cost of Products Sold,Other OTC Product Costs,5735,Internet Ancillary Product,"website, web","Record costs in this account resulting from ancillary product sales made through a practice web portal. If not separated from Internet pharmacy costs, include all in account number 6130 Internet Pharmacy Costs."
COGS,Cost of Non-Professional Services,Cost of Non-Professional Services,5800,Boarding Cost,,"Food, bedding, food/water bowls and kitty litter pans and litter used exclusively for the maintenance of boarded or hospitalized animals. Include any other expense you know to be only for boarded pets and not comingled with other areas of the hospital."
COGS,Cost of Non-Professional Services,Cost of Non-Professional Services,5900,Grooming Cost,,Include all supplies for the grooming and bathing of pets in the hospital. May include gallon sized grooming shampoos and supplies used by groomers.
Expense,,,,GENERAL & ADMINISTRATIVE EXPENSES,,
Expense,Labor Expense,,,Labor Expense,"payroll, wage",
Expense,Labor Expense,Salary Expense,6000,Salary Expense,"payroll, wage","All salaries exclude the amounts earned, but reserved for sick time, vacation time, but include the portions of salaries withheld for garnishments, which should appears onteh balance sheet to the extent they are payable."
Expense,Labor Expense,Doctor Salary Expense,6100,Doctor Salary Expense,"payroll, wage",
Expense,Labor Expense,Doctor Salary Expense,6101,Companion Animal Generalist Doctor Salary,"payroll, wage",
Expense,Labor Expense,Doctor Salary Expense,6102,Equine Generalist Doctor Salary,"payroll, wage",
Expense,Labor Expense,Doctor Salary Expense,6103,Farm Animal Generalist Doctor Salary,"payroll, wage",
Expense,Labor Expense,Doctor Salary Expense,6104,Zoological Generalist Doctor Salary,"payroll, wage",
Expense,Labor Expense,Doctor Salary Expense,6110,Emergency/Critical Care Doctor Salary,"payroll, wage",
Expense,Labor Expense,Doctor Salary Expense,6120,Specialist Doctor Salary Expense,"payroll, wage",
Expense,Labor Expense,Doctor Salary Expense,6121,Surgery Doctor Salary,"payroll, wage",
Expense,Labor Expense,Doctor Salary Expense,6122,Internal Medicine Doctor Salary,"payroll, wage",
Expense,Labor Expense,Doctor Salary Expense,6123,Cardiology Doctor Salary,"payroll, wage",
Expense,Labor Expense,Doctor Salary Expense,6124,"Oncology, Medical Doctor Salary","payroll, wage",
Expense,Labor Expense,Doctor Salary Expense,6125,"Oncology, Radiation Doctor Salary ","payroll, wage",
Expense,Labor Expense,Doctor Salary Expense,6126,Neurology Doctor Salary,"payroll, wage",
Expense,Labor Expense,Doctor Salary Expense,6127,Ophthalmology Doctor Salary,"payroll, wage",
Expense,Labor Expense,Doctor Salary Expense,6128,Dermatology Doctor Salary,"payroll, wage",
Expense,Labor Expense,Doctor Salary Expense,6129,Dentistry Doctor Salary,"payroll, wage",
Expense,Labor Expense,Doctor Salary Expense,6130,"Radiology, Diagnostic Doctor Salary","payroll, wage",
Expense,Labor Expense,Doctor Salary Expense,6131,Anesthesia/Pain Management Doctor Salary,"payroll, wage",
Expense,Labor Expense,Doctor Salary Expense,6132,Alternative/Acupuncture Doctor Salary,"payroll, wage",
Expense,Labor Expense,Doctor Salary Expense,6133,Behavior Doctor Salary,"payroll, wage",
Expense,Labor Expense,Doctor Salary Expense,6134,Rehabilitiation Therapy Doctor Salary,"payroll, wage",
Expense,Labor Expense,Doctor Salary Expense,6135,Nutrition Doctor Salary,"payroll, wage",
Expense,Labor Expense,Doctor Salary Expense,6136,Avian/Extics Doctor Salary,"payroll, wage",
Expense,Labor Expense,Doctor Salary Expense,6137,Diagnostic Lab / Clinical Pathology Doctor Salary,"payroll, wage",
Expense,Labor Expense,Doctor Salary Expense,6138,Theriogenology Doctor Salary,"payroll, wage",
Expense,Labor Expense,Technician Salary Expense,6200,Technician Salary Expense,"payroll, wage",
Expense,Labor Expense,Technician Salary Expense,6201,Companion Animal Generalist Technician Salary,"payroll, wage",
Expense,Labor Expense,Technician Salary Expense,6202,Equine Technician Salary,"payroll, wage",
Expense,Labor Expense,Technician Salary Expense,6203,Farm Animal Technician Salary,"payroll, wage",
Expense,Labor Expense,Technician Salary Expense,6204,Zoological Technician Salary,"payroll, wage",
Expense,Labor Expense,Technician Salary Expense,6210,Emergency/Critical Care Technician Salary,"payroll, wage",
Expense,Labor Expense,Technician Salary Expense,6220,Specialty Technican Salary Expense,"payroll, wage",
Expense,Labor Expense,Technician Salary Expense,6221,Surgery Technician Salary,"payroll, wage",
Expense,Labor Expense,Technician Salary Expense,6222,Internal Medicine Technician Salary,"payroll, wage",
Expense,Labor Expense,Technician Salary Expense,6223,Cardiology Technician Salary,"payroll, wage",
Expense,Labor Expense,Technician Salary Expense,6224,"Oncology, Medical Technician Salary","payroll, wage",
Expense,Labor Expense,Technician Salary Expense,6225,"Oncology, Radiation Technician Salary","payroll, wage",
Expense,Labor Expense,Technician Salary Expense,6226,Neurology Technician Salary,"payroll, wage",
Expense,Labor Expense,Technician Salary Expense,6227,Ophthalmology Technician Salary,"payroll, wage",
Expense,Labor Expense,Technician Salary Expense,6228,Dermatology Technician Salary,"payroll, wage",
Expense,Labor Expense,Technician Salary Expense,6229,Dentistry Technician Salary,"payroll, wage",
Expense,Labor Expense,Technician Salary Expense,6230,"Radiology, Diagnostic Technician Salary","payroll, wage",
Expense,Labor Expense,Technician Salary Expense,6231,Anesthesia/Pain Management Technician Salary,"payroll, wage",
Expense,Labor Expense,Technician Salary Expense,6232,Alternative/Acupuncture Technician Salary,"payroll, wage",
Expense,Labor Expense,Technician Salary Expense,6233,Behavior Technician Salary,"payroll, wage",
Expense,Labor Expense,Technician Salary Expense,6234,Rehabilitiation Therapy Technician Salary,"payroll, wage",
Expense,Labor Expense,Technician Salary Expense,6235,Nutrition Technician Salary,"payroll, wage",
Expense,Labor Expense,Technician Salary Expense,6236,Avian/Extics Technician Salary,"payroll, wage",
Expense,Labor Expense,Technician Salary Expense,6237,Diagnostic Lab / Clinical Pathology Technician Salary,"payroll, wage",
Expense,Labor Expense,Technician Salary Expense,6238,Theriogenology Technician Salary,"payroll, wage",
Expense,Labor Expense,Other Salary Expense,6300,Other Salary Expense,,
Expense,Labor Expense,Other Salary Expense,6310,"Client Service Representative (""CSR"") Salary Expense","reception, receptionist, payroll, wage","Gross wages, commissions, and/or bonuses for receptionists and client service representatives (CSRs)."
Expense,Labor Expense,Other Salary Expense,6320,Management Salary Expense,"payroll, wage","Gross wages, commissions, and/or bonuses for employees managing the practice"
Expense,Labor Expense,Other Salary Expense,6330,Adminstrative Salary Expense,"payroll, wage","Gross wages, commissions, and/or bonuses for employees providing predominantly administrative, managerial, or back office services."
Expense,Labor Expense,Other Salary Expense,6340,Maintenance Salary Expense,"Janitor, Custodian, payroll, wage","Gross wages, commissions, and/or bonuses for employees performing janatorial and building maintenance work."
Expense,Labor Expense,Other Salary Expense,6350,Groomer Compensation Expense,"payroll, wage","Gross wages, commissions, and/or bonuses for pet groomers."
Expense,Labor Expense,Other Salary Expense,6360,Boarding Staff Compensation Expense,"kennel, payroll, wage","Gross wages, commissions, and/or bonuses for boarding/kennel staff."
Expense,Labor Expense,Other Salary Expense,6370,Owner Compensation Expense,"payroll, wage","The gross amount (before tax withholdings) of salaries, wages, bonuses, commissions, and guaranteed payments paid to owner-employees post to this account. LLC member distributions, partner draws, and sole proprietor draws are recorded in accounts 3204, 3304 and 3403. Each veterinarian employee-owner can be listed individually with a sub-account (7001, 7002, etc.) if desired for additional detail within financial reports. This account should include the wages paid to owner veterinarians for clinical time (excludes compensation for management time which should be expensed in 7005 Owner Management Compensation)."
Expense,Labor Expense,Employee-Related Taxes & Benefits Expenses,6400,Employee-Related Taxes & Benefits Expenses,,
Expense,Labor Expense,Payroll Tax Expense,6410,Employer Payroll Taxes,,
Expense,Labor Expense,Payroll Tax Expense,6411,FICA Tax Expense -- Employers Portion,,This account expenses the employer’s portion of social security (OASDI) and Medicare tax matching funds (to those withheld from employee wages).
Expense,Labor Expense,Payroll Tax Expense,6412,Federal Unemployment Tax Expense,,Employers must pay federal taxes to fund unemployment claims. The unemployment tax amounts required by state law are coded to the next account.
Expense,Labor Expense,Payroll Tax Expense,6413,State Unemployment Tax Expense,,Employers must pay state taxes to fund unemployment claims. The unemployment tax amounts required by federal law are coded to the prior account.
Expense,Labor Expense,Payroll Tax Expense,6414,Other Employer Payroll Tax Expense,,"Some states require other tax payments by employers, and these more unique employment tax payments should be coded to this account."
Expense,Labor Expense,Employee Benefits Expense,6420,Employer Fringe Benefits Expense,,
Expense,Labor Expense,Employee Benefits Expense,6421,Group Health Insurance Premium,,Payments made to cover the employer portion of the cost of Group Health Insurance Plans for employees
Expense,Labor Expense,Employee Benefits Expense,6422,S-Corporation Shareholder Health Insurance Premium,,Payments made to cover the shareholder portion of the cost of Group Health Insurance Plans for shareholders
Expense,Labor Expense,Employee Benefits Expense,6423,Group Dental/Vision Insurance Premium Expense,,Payments made to cover the employer portion of the cost of Group Dental/Vision Insurance plans for employees
Expense,Labor Expense,Employee Benefits Expense,6424,Group Disability Insurance Premium Expense,,Payments made to cover the employer portion of the cost of Group Disability Insurance Plans for employees
Expense,Labor Expense,Employee Benefits Expense,6425,Group Term Life Insurance Premium Expense,,Payments made to cover the employer portion of the cost of Group Life Insurance Plans for key employees
Expense,Labor Expense,Employee Benefits Expense,6426,Employer Retirement Plan (e.g. 401(k)) Contribution Expense,,"Payments made by the employer as contributions to theretirement plan for all employees (matching payments, etc)"
Expense,Labor Expense,Employee Benefits Expense,6427,Profit-Sharing Expense,,"Standard profit-sharing bonuses across a wide section of employees, rather than employee-specific bonuses (which would be listed in salary expense)"
Expense,Labor Expense,Employee Benefits Expense,6430,Paid Time Off (PTO) Expense,,
Expense,Labor Expense,Employee Benefits Expense,6431,Sick Pay,,Payments made to employees for time they were sick and unable to work
Expense,Labor Expense,Employee Benefits Expense,6432,Vacation Pay,,"Payments made to employees for ""paid vacation"" time"
Expense,Labor Expense,Employee-Related Insurance Expense,6440,Employee-Related Insurance Expense,,
Expense,Labor Expense,Employee-Related Insurance Expense,6441,Professional Liability Insurance Expense,,Premiums paid for insurance to cover PLIT (Professional Liability Insurance) for doctors
Expense,Labor Expense,Employee-Related Insurance Expense,6442,Workers Compensation Insurance Expense,,"Tax or premiums paid for practice insurance that manages the risk of claims related to employee injury on the job, and provides wage replacement and medical benefits in exchange for mandatory relinquishment of the employee’s right to sue the employer for negligence. Direct payment for small dollar value medical payments related to on the job injuries in order to mitigate workers’ comp."
Expense,Labor Expense,Employee-Related Insurance Expense,6443,Employment Practices Liability Insurance Expense,,Premiums paid for insurance to cover Employment Practices Liability Insurance
Expense,Labor Expense,Continuing Education Expense,6450,Continuing Education Expense,,"Payments made to enroll employees in webinars, seminars, conferences and conventions for the purposes of expanding skills and knowledge, as well as complying with regulatory guidelines to maintain professional licensure in that particular state."
